                    |                NOUN|                VERB|                CONJ|                 PRO
pa`Daq              |               0.225|               0.100|               0.100|               0.100
ghah                |               0.100|               0.100|               0.100|               0.600
taH                 |               0.100|               0.300|               0.100|               0.100
tera`ngan           |               0.600|               0.100|               0.100|               0.100
`e                  |               0.100|               0.100|               0.100|               0.600
ja`chuqmeH          |               0.100|               0.300|               0.100|               0.100
rojHom              |               0.225|               0.100|               0.100|               0.100
neH                 |               0.100|               0.300|               0.100|               0.100
qIp                 |               0.100|               0.500|               0.100|               0.100
puq                 |               0.350|               0.100|               0.100|               0.100
`eg                 |               0.100|               0.100|               1.100|               0.100
